filename,indicator_name,extension,embedded,gh_link
nautilus_trader/nautilus_trader/indicators/fuzzy_enum.pyx,fuzzy_enum,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/fuzzy_enum.pyx
nautilus_trader/nautilus_trader/indicators/pressure.pxd,pressure,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/pressure.pxd
nautilus_trader/nautilus_trader/indicators/stochastics.pxd,stochastics,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/stochastics.pxd
nautilus_trader/nautilus_trader/indicators/keltner_position.pyx,keltner_position,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/keltner_position.pyx
nautilus_trader/nautilus_trader/indicators/spread_analyzer.pyx,spread_analyzer,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/spread_analyzer.pyx
nautilus_trader/nautilus_trader/indicators/psl.pyx,psl,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/psl.pyx
nautilus_trader/nautilus_trader/indicators/bollinger_bands.pxd,bollinger_bands,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/bollinger_bands.pxd
nautilus_trader/nautilus_trader/indicators/base/indicator.pyx,indicator,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/base/indicator.pyx
nautilus_trader/nautilus_trader/indicators/base/__init__.pxd,__init__,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/base/__init__.pxd
nautilus_trader/nautilus_trader/indicators/base/__init__.py,__init__,python,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/base/__init__.py
nautilus_trader/nautilus_trader/indicators/base/indicator.pxd,indicator,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/base/indicator.pxd
nautilus_trader/nautilus_trader/indicators/average/wma.pyx,wma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/wma.pyx
nautilus_trader/nautilus_trader/indicators/average/sma.pyx,sma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/sma.pyx
nautilus_trader/nautilus_trader/indicators/average/hma.pyx,hma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/hma.pyx
nautilus_trader/nautilus_trader/indicators/average/vidya.pxd,vidya,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/vidya.pxd
nautilus_trader/nautilus_trader/indicators/average/ama.pxd,ama,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/ama.pxd
nautilus_trader/nautilus_trader/indicators/average/dema.pxd,dema,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/dema.pxd
nautilus_trader/nautilus_trader/indicators/average/__init__.pxd,__init__,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/__init__.pxd
nautilus_trader/nautilus_trader/indicators/average/__init__.py,__init__,python,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/__init__.py
nautilus_trader/nautilus_trader/indicators/average/moving_average.pyx,moving_average,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/moving_average.pyx
nautilus_trader/nautilus_trader/indicators/average/rma.pyx,rma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/rma.pyx
nautilus_trader/nautilus_trader/indicators/average/ema.pxd,ema,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/ema.pxd
nautilus_trader/nautilus_trader/indicators/average/rma.pxd,rma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/rma.pxd
nautilus_trader/nautilus_trader/indicators/average/ema.pyx,ema,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/ema.pyx
nautilus_trader/nautilus_trader/indicators/average/moving_average.pxd,moving_average,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/moving_average.pxd
nautilus_trader/nautilus_trader/indicators/average/dema.pyx,dema,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/dema.pyx
nautilus_trader/nautilus_trader/indicators/average/ama.pyx,ama,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/ama.pyx
nautilus_trader/nautilus_trader/indicators/average/vidya.pyx,vidya,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/vidya.pyx
nautilus_trader/nautilus_trader/indicators/average/hma.pxd,hma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/hma.pxd
nautilus_trader/nautilus_trader/indicators/average/sma.pxd,sma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/sma.pxd
nautilus_trader/nautilus_trader/indicators/average/ma_factory.pyx,ma_factory,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/ma_factory.pyx
nautilus_trader/nautilus_trader/indicators/average/wma.pxd,wma,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/average/wma.pxd
nautilus_trader/nautilus_trader/indicators/fuzzy_enums/candle_direction.pyx,candle_direction,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/fuzzy_enums/candle_direction.pyx
nautilus_trader/nautilus_trader/indicators/fuzzy_enums/candle_size.pxd,candle_size,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/fuzzy_enums/candle_size.pxd
nautilus_trader/nautilus_trader/indicators/fuzzy_enums/candle_body.pxd,candle_body,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/fuzzy_enums/candle_body.pxd
nautilus_trader/nautilus_trader/indicators/fuzzy_enums/__init__.pxd,__init__,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/fuzzy_enums/__init__.pxd
